"id","name","stateAfter","stateBefore","timeElapsed"
"5851cd72-21b7-456f-81fa-7e084209a3be","top","home","noti","474"
"ef3f0083-a0bd-4d87-840e-f62046c1f407","left","lock","lock","64"
"e3767b3d-a366-45f2-b460-780d67fbc34f","bottomleft","brightness","brightness","396"
"cfe542fb-94db-4797-90d0-ad2d7a2eb635","bottomleft","gesture","lock","1055"
"4ea1b126-b7db-42f1-876e-2f2adfa27c53","top","home","app","1104"
"c3a693a0-5953-4b33-894c-88bc25d66437","bottom","lock","home","646"
"80b9c9d7-cb21-4883-9355-09ac05b450b3","top","home","home","47"
"d1dbebdb-77f3-4474-b4a4-59c38774c498","left","app","app","184"
"09d090f7-5d42-439e-b422-e23464914085","left","app","app","2845"
"b5d35207-d15a-46fb-accd-ad62e101f148","top","home","app","758"
"fd628104-aadc-4785-9115-11d47b2d075a","bottomleft","app","app","8291"
"bf70723c-f74d-484b-abb3-1e8fb924e0a9","bottom","lock","home","981"
"86c3ba2b-2486-43ee-8609-c1b57670e847","top","home","home","4489"
"8c91e603-440b-46a6-9165-1bba89b50c4c","left","brightness","app","4173"
"0f0744c2-531c-4698-99d5-dbfc49d5c302","top","lock","lock","17"
"46a5d6bb-7e63-4927-98a6-02392f443768","topleft","noti","app","3597"
"6d327b90-503d-4198-a8ee-9491a898b6f4","bottomleft","gesture","gesture","583"
"3b1b3c63-e3ba-4afb-87f6-696bc07f4adf","top","home","home","281"
"d4d11b87-c62a-4961-af70-9514103bc90b","topleft","noti","home","881"
"14fd82dd-2a0a-4b7d-bcba-96d32211b77f","topleft","noti","home","585"
"e19753ad-d40d-4634-8437-ca25e2e9895a","topleft","noti","home","345"
"79d74b4e-8c8c-4727-9c3d-a1539b2738a5","bottom","lock","home","715"
"e9a82759-3d5d-4a03-978c-728235972ca1","left","brightness","app","743"
"2bee1902-2b32-4e62-b81c-4740dda5622d","top","brightness","brightness","661"
"dddb09b9-e333-487a-ac59-6d724e7333ec","left","app","app","93"
"6a0fb619-d73f-4c26-b8b6-7fe7e103cfd0","bottomleft","gesture","gesture","677"
"2cfc4694-66c9-43a2-a8f2-8a5ec9834311","left","brightness","brightness","1557"
"3674f0df-1154-4c15-b4a7-1b5ed0c20781","bottomleft","brightness","brightness","1078"
"3d9e5d19-e14c-4ffd-8ada-0302a74a1542","top","lock","lock","1615"
"49530689-5b75-4fa7-8f2f-4dbe24e1d858","left","brightness","app","1889"
"8126e1d0-c9c8-48d9-a45c-ae243f3eca2c","left","brightness","app","2188"
"6a526afa-51c9-4f81-a012-fd7109b4107f","topleft","noti","brightness","779"
"fc3112d1-db4e-4c44-ba68-0e75cfd921da","left","lock","lock","2862"
"695c0f29-8d68-4ed3-8367-c8ab8ee1d232","top","home","gesture","794"
"e9dc2ad8-d18c-4b1e-8c3c-aee9d4e73c2e","left","brightness","noti","353"
"54c75fb8-d8a8-435e-9246-fb786273e26a","topleft","noti","app","1005"
"4b7eaa4d-e44e-4de2-971d-c6c09c1a66b6","top","lock","lock","87"
"4d512c70-bba3-4be0-8c5f-1a6301d329ff","bottom","lock","home","291"
"0707ced3-6dbb-47ca-a353-159cc03be054","left","brightness","brightness","3135"
"b679d021-07c3-4080-a694-c50ca8249c22","bottom","lock","lock","1937"
"feee4ea6-324e-4b08-919d-c2b7f895d78b","left","brightness","brightness","488"
"7d070f0a-2663-4853-8024-ec3438ffe541","left","noti","noti","675"
"90ea1f17-ea98-48a0-9ae6-bbfcb4c04df2","left","brightness","home","1978"
"24db7572-c9e9-45eb-9e90-c124a3ca2323","top","lock","lock","384"
"fcdb0f84-1a87-4d8a-aa31-7dfa0d55b2a2","left","brightness","brightness","555"
"c9a64c6d-82a4-41b4-85b4-2dbccabc533e","topleft","noti","app","11771"
"39e98600-2cae-429c-a6d6-07511e980027","bottom","lock","app","12128"
"1f00b992-2708-4ade-8f52-7520b45d42df","topleft","noti","app","6691"
"51f37307-9646-41e4-bf05-e15dbe990daf","topleft","noti","home","399"
"cdf14abe-9e36-4e45-8e29-03111873a571","bottom","lock","lock","472"
"77231d6e-cef9-4ed7-9fb1-b8cd89ca3316","bottomleft","noti","noti","71"
"35b71b7a-78de-407d-845e-0144fea58339","left","brightness","home","1677"
"8e32994d-8a95-4f8a-b02b-ef2f933233b4","left","app","app","49"
"fbd0640e-41c3-47c1-b475-b7e1be2cc67b","bottomleft","gesture","gesture","74"
"961c3371-8094-49fa-820a-c5d32e6b1866","top","lock","lock","576"
"8712fa02-acca-432e-9a42-66c87a14df2d","topleft","noti","home","4625"
"862e5f78-5c17-488b-b387-50bb680776b1","left","lock","lock","443"
"b1034b4a-e86d-4b55-8b4a-06731facab37","topleft","noti","home","721"
"d170a742-0281-48d1-82d4-853c946e31c8","left","brightness","brightness","314"
"8e5cf072-8f10-4743-8258-4bfe679c944d","left","noti","noti","2176"
"beafc973-b475-4e4f-bc5a-9a35526eb617","left","app","app","693"
"4245f45f-9591-4d36-ba46-a405192d8c43","bottomleft","app","app","2222"
"bfe54a16-e10f-435f-b806-a5a08fd7e439","topleft","noti","brightness","769"
"d6153f29-5948-4a26-8b1d-98d0d18e68d1","top","home","noti","572"
"59273f24-0faa-4dfe-93b1-7cb5ddb3f85f","left","noti","noti","601"
"7190c2b6-82f5-4018-8a07-8be5a0023b24","left","home","home","2222"
"01c5e552-afcc-4ea8-af1e-cdac694f7097","left","brightness","noti","1112"
"604ce1fc-3954-4a5d-b668-11118770178d","left","brightness","brightness","2535"
"c89fb949-cf9f-44a0-99fc-12fad7a65343","top","home","noti","419"
"359146fc-495d-48c2-ac0c-5931145790d8","left","brightness","brightness","1520"
"4f8fab24-9c28-4d97-910e-90175060a552","bottomleft","app","app","813"
"4812006c-96d2-4db8-83dd-ce712577eea4","left","brightness","lock","701"
"e8619462-120d-4522-9bb6-8663f0d220fa","left","lock","lock","1458"
"2c45df29-7fb2-459b-9546-4d9eb4dd3b24","topleft","lock","lock","975"
"c80c2858-9d11-4ec0-8970-58da8f5ec6ca","bottom","lock","app","1898"
"1a68fdf0-8ef0-4119-909a-91255e993ede","topleft","noti","app","632"
"976c1311-e513-40ef-b88d-d080daba2dbe","bottomleft","app","app","843"
"0219d486-110b-4c7b-9c03-a906c1b9415c","left","app","app","37"
"c26748a7-fc8d-4f3d-8abf-5544c70746b5","bottomleft","gesture","app","549"
"64d167a9-016b-4552-8151-10c10ced5cad","bottom","lock","home","2267"
"6f8898c7-432d-45b3-ad22-4bc8e6a92827","top","lock","lock","624"
"5c6d2a42-6400-4a25-8250-c4de282ce2f1","bottom","lock","lock","263"
"efe6c563-edc1-4454-ae5d-7e6498a9a66f","top","home","brightness","585"
"c9625a30-1d2d-499a-92af-74e4f1e64a96","left","noti","noti","100"
"9eeca801-5ab1-4fbf-887f-d0c7c8c5ad2b","top","home","noti","797"
"25b197f0-2ac6-477c-bdd8-68bcdf53e0e4","topleft","noti","noti","204"
"857dc561-1208-4962-a3eb-3edddd168247","bottomleft","noti","noti","9008"
"51ed051c-8408-46ae-af0f-4c8b8683658c","top","lock","lock","2022"
"dd290df1-f367-41c5-a416-7e0124f1f87c","left","brightness","app","662"
"bdecdc09-253a-49b6-85e9-063f816cb4c7","left","lock","lock","487"
"456f07b8-cda8-41c5-b781-e53c7282c9ca","left","brightness","noti","478"
"de68874e-a0b3-45f8-9a1c-ad964724301e","left","brightness","gesture","579"
"f23f4b75-abae-428f-8d95-2567d8eb1c4c","left","home","home","2730"
"b2ac8cfa-694c-469c-b6c7-85a8c68cb334","left","brightness","brightness","275"
"17593bae-7813-41d5-9a55-b28d6e4d73ae","topleft","noti","home","1319"
"abf21d17-3266-45f0-89a8-257cc881d6d6","bottomleft","lock","lock","608"
"17490828-eb7a-4095-ad62-e526592f9fe9","topleft","noti","home","624"
"360bf877-8c68-4992-b70d-059279af597e","top","home","noti","28384"
"e79c09c5-6e41-4523-810d-552e41a411b6","bottomleft","app","app","4253"
"a6c000dd-7b96-4e85-913e-e43bc5084931","bottom","lock","noti","532"
"cea3bff4-1ecb-4a1d-be38-4ebb9f6a14f8","topleft","noti","brightness","437"
"63329fde-be9e-4902-b91d-f7d5f6a25b1b","top","home","app","349"
"1fb57e76-ee86-41b5-9110-dcce39a495a7","left","app","app","18587"
"b8cdbdea-324e-47ed-8f1b-1b3200a34dec","bottom","lock","app","409"
"903319e0-112d-45a2-92a8-2f5a0e610f89","topleft","noti","home","1503"
"998bd93e-3b66-4c81-a4b7-6bc584298bf2","top","home","brightness","254"
"8ee7623f-74bd-4e19-944a-64f95cd680f7","topleft","noti","home","610"
"4830228f-57e5-4df3-b94c-ce7d70677cb8","top","home","app","433"
"2f49742e-f9e9-4f0d-9662-0fc7a9a5c788","left","brightness","home","742"
"e4e424ca-5589-423f-9f29-ee44721d6ee2","bottomleft","gesture","brightness","255"
"7d7b6a50-573b-4639-aa2c-116f500124d4","topleft","noti","home","427"
"f611c879-eb82-4740-9ef6-f582910180c3","top","home","app","296"
"43658e9c-253f-4930-96c6-327a6a65ed71","top","home","brightness","2031"
"5647b91b-b458-42f1-bb5b-4bd95f61c218","left","brightness","brightness","397"
"5ea2ece0-8b7f-49d6-aafc-cfa910b8261d","topleft","noti","app","689"
"09b5ed94-ddfd-4324-964f-946410d253e6","top","home","app","1090"
"d429980e-cc4a-46fc-890c-0f7e5770f8f1","left","app","app","49"
"8bd9ccb9-f38a-4852-acf0-baa46b40d48e","top","home","home","152"
"142b64e1-089e-47a8-a2be-6a6b9209ba35","bottomleft","gesture","lock","463"
"747385e3-920f-4422-a907-bd004467308f","left","brightness","home","898"
"e74b5531-28df-43a8-9157-b4f28cbcb7ae","topleft","noti","noti","405"
"baa06abb-15f2-42dc-8aa9-308866a0be78","bottomleft","gesture","app","1430"
"cf9b1ef4-9242-40df-abf7-8e4f2fad077c","bottomleft","app","app","1342"
"f6da18ae-9d8e-4deb-970f-753d33e073d1","bottomleft","noti","noti","2820"
"20b0dc37-718f-4a40-b67f-32f8c3ac35bf","left","lock","lock","2395"
"70bd075d-5b4a-4e9a-850c-5adf18802af1","bottom","lock","home","1254"
"27185ca8-fee8-4f49-aa5d-7036898a9633","left","brightness","noti","1630"
"705ed028-3187-4864-9d9f-3322b0f12eba","top","home","app","9489"
"3ddb728f-94b5-410e-87c0-ed5e3ae4d893","top","home","home","54"
"df63da5f-2240-4bcf-9799-a7b38cadd997","left","brightness","home","1317"
"739d7d1b-60ec-4cfb-907d-08f4be5af69a","left","home","home","29"
"b6723b1e-4071-4911-a238-b64a8d7ed738","left","app","app","68938"
"c8f27a0c-d549-4941-bce7-0f7ce0125547","bottom","lock","noti","416"
"77205052-b084-43b4-96b6-d74d2e5b7218","left","home","home","1963"
"16532a57-7cf0-4e53-a28d-5c098a3c002b","topleft","noti","home","585"
"ed69d3cd-7004-4780-a262-0ed5da7193b4","top","home","app","3754"
"58470613-0530-4ae7-b6b8-1b9e2a44d4c4","topleft","noti","noti","1332"
"89931b5a-d5bb-4c74-b345-dd56a5964b63","bottomleft","gesture","brightness","448"
"d97444e1-444a-4cc4-af11-caa24891963b","top","home","brightness","968"
"c83e12fa-2006-4636-ac35-ddb51df3740e","left","noti","noti","2519"
"454cd1fd-7af2-4c4c-9465-e62c79b344e4","bottomleft","gesture","gesture","89"
"b889da40-9256-4af0-91f6-75007fcdf250","bottom","lock","home","2352"
"fc13cf51-9bc3-449c-addb-8b69dde09932","bottomleft","app","app","526"
"1dacbb17-c615-484f-9e4e-fd3136933cfa","top","home","noti","262"
"e5892659-9fb7-4a41-ba86-6cf083864f4f","topleft","noti","app","2731"
"4abac519-f3c6-4c03-acb4-04ae799080e0","top","home","home","12102"
"6137d697-b979-420d-a3d4-5fb07e0ec965","topleft","noti","app","2084"
"b19eea49-76b2-4ab3-9032-e835e0fc16a5","top","home","app","2105"
"2937c861-3c3b-4958-957f-78eed0ac3933","left","noti","noti","1228"
"ba76b335-14f3-4f53-a577-01d649e75dca","top","home","noti","632"
"993bde36-63b2-479f-afca-68972d600a73","bottomleft","app","app","8950"
"be934c14-4dc2-4ad6-8245-9e51613884d4","left","app","app","2272"
"695c37db-6f93-4f8d-b7f2-6d4df843b43e","left","app","app","82"
"2e4d8d1c-c6e5-4741-afec-c20741619640","left","app","app","1414"
